distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
2650.0,150.45512579501278,265150.45512579504,-265150.45512579504,-265062.45512579504,0.0
2660.0,150.48784104889796,266150.4878410489,-266150.4878410489,-266062.4878410489,0.0
2670.0,150.52043354356815,267150.52043354354,-267150.52043354354,-267062.52043354354,0.0
2680.0,150.5529041968524,268150.55290419684,-268150.55290419684,-268062.55290419684,0.0
2690.0,150.5852539163248,269150.58525391633,-269150.58525391633,-269062.58525391633,0.0
2700.0,150.61748359945636,270150.61748359946,-270150.61748359946,-270062.61748359946,0.0
2710.0,150.64959413376474,271150.6495941338,-271150.6495941338,-271062.6495941338,0.0
2720.0,150.6815863969606,272150.68158639694,-272150.68158639694,-272062.68158639694,0.0
2730.0,150.71346125709175,273150.7134612571,-273150.7134612571,-273062.7134612571,0.0
2740.0,150.7452195726844,274150.7452195727,-274150.7452195727,-274062.7452195727,0.0
2750.0,150.77686219288188,275150.7768621929,-275150.7768621929,-275062.7768621929,0.0
2760.0,150.80838995758097,276150.8083899576,-276150.8083899576,-276062.8083899576,0.0
2770.0,150.8398036975656,277150.83980369754,-277150.83980369754,-277062.83980369754,0.0
2780.0,150.87110423463815,278150.87110423465,-278150.87110423465,-278062.87110423465,0.0
2790.0,150.90229238174857,279150.90229238174,-279150.90229238174,-279062.90229238174,0.0
2800.0,150.933368943121,280150.9333689431,-280150.9333689431,-280062.9333689431,0.0
2810.0,150.96433471437823,281150.9643347144,-281150.9643347144,-281062.9643347144,0.0
2820.0,150.99519048266384,282150.99519048264,-282150.99519048264,-282062.99519048264,0.0
2830.0,151.02593702676242,283151.0259370268,-283151.0259370268,-283063.0259370268,0.0
2840.0,151.0565751172174,284151.0565751172,-284151.0565751172,-284063.0565751172,0.0
2850.0,151.08710551644683,285151.08710551646,-285151.08710551646,-285063.08710551646,0.0
2860.0,151.11752897885748,286151.11752897885,-286151.11752897885,-286063.11752897885,0.0
2870.0,151.14784625095646,287151.14784625097,-287151.14784625097,-287063.14784625097,0.0
2880.0,151.17805807146124,288151.17805807147,-288151.17805807147,-288063.17805807147,0.0
2890.0,151.2081651714076,289151.2081651714,-289151.2081651714,-289063.2081651714,0.0
2900.0,151.23816827425574,290151.2381682742,-290151.2381682742,-290063.2381682742,0.0
2910.0,151.26806809599478,291151.268068096,-291151.268068096,-291063.268068096,0.0
2920.0,151.297865345245,292151.29786534526,-292151.29786534526,-292063.29786534526,0.0
2930.0,151.32756072335883,293151.32756072335,-293151.32756072335,-293063.32756072335,0.0
2940.0,151.35715492451976,294151.35715492454,-294151.35715492454,-294063.35715492454,0.0
2950.0,151.3866486358399,295151.38664863585,-295151.38664863585,-295063.38664863585,0.0
2960.0,151.41604253745538,296151.4160425374,-296151.4160425374,-296063.4160425374,0.0
2970.0,151.44533730262086,297151.44533730263,-297151.44533730263,-297063.44533730263,0.0
2980.0,151.47453359780172,298151.4745335978,-298151.4745335978,-298063.4745335978,0.0
2990.0,151.50363208276522,299151.5036320828,-299151.5036320828,-299063.5036320828,0.0
3000.0,151.53263341066986,300151.53263341065,-300151.53263341065,-300063.53263341065,0.0
3010.0,151.5615382281535,301151.5615382281,-301151.5615382281,-301063.5615382281,0.0
3020.0,151.59034717541965,302151.5903471754,-302151.5903471754,-302063.5903471754,0.0
3030.0,151.6190608863227,303151.6190608863,-303151.6190608863,-303063.6190608863,0.0
3040.0,151.6476799884517,304151.64767998847,-304151.64767998847,-304063.64767998847,0.0
3050.0,151.67620510321234,305151.6762051032,-305151.6762051032,-305063.6762051032,0.0
3060.0,151.70463684590823,306151.7046368459,-306151.7046368459,-306063.7046368459,0.0
3070.0,151.73297582582035,307151.73297582584,-307151.73297582584,-307063.73297582584,0.0
3080.0,151.76122264628552,308151.7612226463,-308151.7612226463,-308063.7612226463,0.0
3090.0,151.78937790477332,309151.7893779048,-309151.7893779048,-309063.7893779048,0.0
3100.0,151.8174421929621,310151.817442193,-310151.817442193,-310063.817442193,0.0
3110.0,151.84541609681338,311151.8454160968,-311151.8454160968,-311063.8454160968,0.0
3120.0,151.8733001966455,312151.87330019666,-312151.87330019666,-312063.87330019666,0.0
3130.0,151.90109506720557,313151.9010950672,-313151.9010950672,-313063.9010950672,0.0
3140.0,151.92880127774092,314151.92880127777,-314151.92880127777,-314063.92880127777,0.0
3150.0,151.95641939206863,315151.9564193921,-315151.9564193921,-315063.9564193921,0.0
3160.0,151.9839499686447,316151.98394996865,-316151.98394996865,-316063.98394996865,0.0
3170.0,152.01139356063166,317152.0113935606,-317152.0113935606,-317064.0113935606,0.0
3180.0,152.03875071596528,318152.03875071596,-318152.03875071596,-318064.03875071596,0.0
3190.0,152.06602197742023,319152.0660219774,-319152.0660219774,-319064.0660219774,0.0
3200.0,152.09320788267473,320152.09320788266,-320152.09320788266,-320064.09320788266,0.0
3210.0,152.12030896437406,321152.1203089644,-321152.1203089644,-321064.1203089644,0.0
