distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
580.0,0.58,0.6987219872372109,0.3185152834906898,0.30962284345742963,1.3268601141853305
590.0,0.59,0.7107689180516455,0.32865555406282054,0.30962284345742963,1.3490473155718958
600.0,0.6,0.7228158488660802,0.33894006910190744,0.30962284345742963,1.3713787614254174
610.0,0.61,0.7348627796805149,0.3493684250955689,0.30962284345742963,1.3938540482335133
620.0,0.62,0.7469097104949496,0.359940226303042,0.30962284345742963,1.4164727802554213
630.0,0.63,0.7589566413093842,0.37065508448170553,0.30962284345742963,1.4392345692485193
640.0,0.64,0.771003572123819,0.38151261862743713,0.30962284345742963,1.4621390342086857
650.0,0.65,0.7830505029382536,0.3925124547279103,0.30962284345742963,1.4851858011235937
660.0,0.66,0.7950974337526883,0.40365422552798524,0.30962284345742963,1.508374502738103
670.0,0.67,0.807144364567123,0.41493757030643486,0.30962284345742963,1.5317047783309876
680.0,0.68,0.8191912953815577,0.4263621346632918,0.30962284345742963,1.555176273502279
690.0,0.69,0.8312382261959922,0.437927570317156,0.30962284345742963,1.5787886399705777
700.0,0.7,0.843285157010427,0.4496335349118731,0.30962284345742963,1.6025415353797299
710.0,0.71,0.8553320878248616,0.4614796918320022,0.30962284345742963,1.6264346231142937
720.0,0.72,0.8673790186392962,0.47346571002656884,0.30962284345742963,1.6504675721232949
730.0,0.73,0.879425949453731,0.4855912638406195,0.30962284345742963,1.6746400567517803
740.0,0.74,0.8914728802681656,0.4978560328541205,0.30962284345742963,1.6989517565797159
750.0,0.75,0.9035198110826004,0.510259701727794,0.30962284345742963,1.7234023562678242
760.0,0.76,0.915566741897035,0.5228019600555024,0.30962284345742963,1.7479915454099673
770.0,0.77,0.9276136727114697,0.5354825022228128,0.30962284345742963,1.772719018391712
780.0,0.78,0.9396606035259044,0.5483010272714185,0.30962284345742963,1.7975844742547524
790.0,0.79,0.9517075343403391,0.5612572387690886,0.30962284345742963,1.8225876165668575
800.0,0.8,0.9637544651547737,0.5743508446848613,0.30962284345742963,1.8477281532970649
810.0,0.81,0.9758013959692085,0.5875815572692074,0.30962284345742963,1.8730057966958453
820.0,0.82,0.987848326783643,0.6009490929388974,0.30962284345742963,1.89842026317997
830.0,0.83,0.9998952575980776,0.6144531721663428,0.30962284345742963,1.92397127322185
840.0,0.84,1.0119421884125124,0.6280935193731807,0.30962284345742963,1.9496585512431226
850.0,0.85,1.023989119226947,0.6418698628278895,0.30962284345742963,1.9754818255122664
860.0,0.86,1.0360360500413817,0.6557819345472367,0.30962284345742963,2.001440828046048
870.0,0.87,1.0480829808558163,0.6698294702013806,0.30962284345742963,2.0275352945146268
880.0,0.88,1.060129911670251,0.6840122090224328,0.30962284345742963,2.0537649641501132
890.0,0.89,1.0721768424846858,0.6983298937163347,0.30962284345742963,2.08012957965845
900.0,0.9,1.0842237732991205,0.7127822703778857,0.30962284345742963,2.106628887134436
910.0,0.91,1.096270704113555,0.7273690884087685,0.30962284345742963,2.133262635979753
920.0,0.92,1.1083176349279897,0.742090100438444,0.30962284345742963,2.1600305788238634
930.0,0.93,1.1203645657424244,0.7569450622477862,0.30962284345742963,2.18693247144764
940.0,0.94,1.132411496556859,0.7719337326953214,0.30962284345742963,2.2139680727096103
950.0,0.95,1.1444584273712937,0.7870558736459683,0.30962284345742963,2.2411371444746915
960.0,0.96,1.1565053581857283,0.8023112499021646,0.30962284345742963,2.268439451545323
970.0,0.97,1.168552289000163,0.8176996291372723,0.30962284345742963,2.295874761594865
980.0,0.98,1.1805992198145978,0.8332207818311714,0.30962284345742963,2.323442845103199
990.0,0.99,1.1926461506290325,0.848874481207938,0.30962284345742963,2.3511434752944003
1000.0,1.0,1.204693081443467,0.8646605031755293,0.30962284345742963,2.378976428076426
1010.0,1.01,1.2167400122579017,0.8805786262673851,0.30962284345742963,2.4069414819827166
1020.0,1.02,1.2287869430723364,0.8966286315858683,0.30962284345742963,2.4350384181156346
1030.0,1.03,1.2408338738867712,0.9128103027474666,0.30962284345742963,2.4632670200916675
1040.0,1.04,1.2528808047012059,0.9291234258296909,0.30962284345742963,2.4916270739883264
1050.0,1.05,1.2649277355156405,0.9455677893195903,0.30962284345742963,2.5201183682926604
1060.0,1.06,1.2769746663300752,0.9621431840638329,0.30962284345742963,2.5487406938513377
1070.0,1.07,1.2890215971445098,0.9788494032202806,0.30962284345742963,2.57749384382222
1080.0,1.08,1.3010685279589445,0.9956862422110018,0.30962284345742963,2.606377613627376
1090.0,1.09,1.3131154587733793,1.0126534986766695,0.30962284345742963,2.635391800907479
1100.0,1.1,1.325162389587814,1.0297509724322875,0.30962284345742963,2.6645362054775314
