distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
3690.0,0.2,3206.134,-3196.134,-3097.134,0.0
3700.0,0.2,3214.82,-3204.82,-3105.82,0.0
3710.0,0.2,3223.5060000000003,-3213.5060000000003,-3114.5060000000003,0.0
3720.0,0.2,3232.192,-3222.192,-3123.192,0.0
3730.0,0.2,3240.878,-3230.878,-3131.878,0.0
3740.0,0.2,3249.5640000000003,-3239.5640000000003,-3140.5640000000003,0.0
3750.0,0.2,3258.25,-3248.25,-3149.25,0.0
3760.0,0.2,3266.936,-3256.936,-3157.936,0.0
3770.0,0.2,3275.6220000000003,-3265.6220000000003,-3166.6220000000003,0.0
3780.0,0.2,3284.308,-3274.308,-3175.308,0.0
3790.0,0.2,3292.994,-3282.994,-3183.994,0.0
3800.0,0.2,3301.6800000000003,-3291.6800000000003,-3192.6800000000003,0.0
3810.0,0.2,3310.366,-3300.366,-3201.366,0.0
3820.0,0.2,3319.052,-3309.052,-3210.052,0.0
3830.0,0.2,3327.7380000000003,-3317.7380000000003,-3218.7380000000003,0.0
3840.0,0.2,3336.424,-3326.424,-3227.424,0.0
3850.0,0.2,3345.11,-3335.11,-3236.11,0.0
3860.0,0.2,3353.7960000000003,-3343.7960000000003,-3244.7960000000003,0.0
3870.0,0.2,3362.482,-3352.482,-3253.482,0.0
3880.0,0.2,3371.168,-3361.168,-3262.168,0.0
3890.0,0.2,3379.8540000000003,-3369.8540000000003,-3270.8540000000003,0.0
3900.0,0.2,3388.54,-3378.54,-3279.54,0.0
3910.0,0.2,3397.226,-3387.226,-3288.226,0.0
3920.0,0.2,3405.9120000000003,-3395.9120000000003,-3296.9120000000003,0.0
3930.0,0.2,3414.598,-3404.598,-3305.598,0.0
3940.0,0.2,3423.284,-3413.284,-3314.284,0.0
3950.0,0.2,3431.9700000000003,-3421.9700000000003,-3322.9700000000003,0.0
3960.0,0.2,3440.656,-3430.656,-3331.656,0.0
3970.0,0.2,3449.342,-3439.342,-3340.342,0.0
3980.0,0.2,3458.0280000000002,-3448.0280000000002,-3349.0280000000002,0.0
3990.0,0.2,3466.714,-3456.714,-3357.714,0.0
4000.0,0.2,3475.4,-3465.4,-3366.4,0.0
